pillar,term,period,share,count,trend_score
skincare,yuck,2023-06-01,0.0,0,0.0
skincare,yuck,2023-07-01,0.0,0,0.0
skincare,yuck,2023-08-01,0.0,0,0.0
skincare,yuck,2023-09-01,0.0,0,0.0
skincare,yuck,2023-10-01,0.0,0,0.0
skincare,yuck,2023-11-01,0.0,0,0.0
skincare,yuck,2023-12-01,0.0,0,0.0
skincare,yuck,2024-01-01,0.0,0,0.0
skincare,yuck,2024-02-01,0.0,0,0.0
skincare,yuck,2024-03-01,0.0,0,0.0
skincare,yuck,2024-04-01,0.0006203473945409429,1,620347.3945409429
skincare,yuck,2024-05-01,0.0,0,-0.5773486571941261
skincare,yuck,2024-06-01,0.0,0,-0.5773486571941261
skincare,yuck,2024-07-01,0.0,0,-0.5773486571941261
skincare,yuck,2024-08-01,0.0,0,0.0
skincare,yuck,2024-09-01,0.0,0,0.0
skincare,yuck,2024-10-01,0.0,0,0.0
skincare,yuck,2024-11-01,0.0,0,0.0
skincare,yuck,2024-12-01,0.0,0,0.0
skincare,yuck,2025-01-01,0.0,0,0.0
skincare,yuck,2025-02-01,0.0,0,0.0
skincare,yuck,2025-03-01,0.0,0,0.0
skincare,yuck,2025-04-01,0.0,0,0.0
skincare,yuck,2025-05-01,0.0,0,0.0
skincare,yuck,2025-06-01,0.0,0,0.0
skincare,yuck,2025-07-01,0.0,0,0.0
skincare,youve,2020-01-01,0.0,0,
skincare,youve,2020-02-01,0.0,0,0.0
skincare,youve,2020-03-01,0.0,0,0.0
skincare,youve,2020-04-01,0.0,0,0.0
skincare,youve,2020-05-01,0.0,0,0.0
skincare,youve,2020-06-01,0.0,0,0.0
skincare,youve,2020-07-01,0.0,0,0.0
skincare,youve,2020-08-01,0.0,0,0.0
skincare,youve,2020-09-01,0.0,0,0.0
skincare,youve,2020-10-01,0.0,0,0.0
skincare,youve,2020-11-01,0.0,0,0.0
skincare,youve,2020-12-01,0.0,0,0.0
skincare,youve,2021-01-01,0.0,0,0.0
skincare,youve,2021-02-01,0.0,0,0.0
skincare,youve,2021-03-01,0.0,0,0.0
skincare,youve,2021-04-01,0.005780346820809248,1,5780346.820809248
skincare,youve,2021-05-01,0.0,0,-0.5773500961896776
skincare,youve,2021-06-01,0.0,0,-0.5773500961896776
skincare,youve,2021-07-01,0.0,0,-0.5773500961896777
skincare,youve,2021-08-01,0.0,0,0.0
skincare,youve,2021-09-01,0.0,0,0.0
skincare,youve,2021-10-01,0.0,0,0.0
skincare,youve,2021-11-01,0.0,0,0.0
skincare,youve,2021-12-01,0.0,0,0.0
skincare,youve,2022-01-01,0.0,0,0.0
skincare,youve,2022-02-01,0.0,0,0.0
skincare,youve,2022-03-01,0.0,0,0.0
skincare,youve,2022-04-01,0.0,0,0.0
skincare,youve,2022-05-01,0.0,0,0.0
skincare,youve,2022-06-01,0.0,0,0.0
skincare,youve,2022-07-01,0.0,0,0.0
skincare,youve,2022-08-01,0.0,0,0.0
skincare,youve,2022-09-01,0.0,0,0.0
skincare,youve,2022-10-01,0.0,0,0.0
skincare,youve,2022-11-01,0.0,0,0.0
skincare,youve,2022-12-01,0.0,0,0.0
skincare,youve,2023-01-01,0.0,0,0.0
skincare,youve,2023-02-01,0.0,0,0.0
skincare,youve,2023-03-01,0.00043591979075850045,1,435919.7907585004
skincare,youve,2023-04-01,0.0,0,-0.5773479751987557
skincare,youve,2023-05-01,0.0,0,-0.5773479751987557
skincare,youve,2023-06-01,0.0,0,-0.5773479751987557
skincare,youve,2023-07-01,0.0,0,0.0
skincare,youve,2023-08-01,0.0,0,0.0
skincare,youve,2023-09-01,0.0,0,0.0
skincare,youve,2023-10-01,0.0,0,0.0
skincare,youve,2023-11-01,0.0,0,0.0
skincare,youve,2023-12-01,0.0,0,0.0
skincare,youve,2024-01-01,0.0,0,0.0
skincare,youve,2024-02-01,0.0,0,0.0
skincare,youve,2024-03-01,0.0,0,0.0
skincare,youve,2024-04-01,0.0,0,0.0
skincare,youve,2024-05-01,0.0,0,0.0
skincare,youve,2024-06-01,0.0,0,0.0
skincare,youve,2024-07-01,0.0,0,0.0
skincare,youve,2024-08-01,0.0,0,0.0
skincare,youve,2024-09-01,0.0,0,0.0
skincare,youve,2024-10-01,0.0,0,0.0
skincare,youve,2024-11-01,0.0,0,0.0
skincare,youve,2024-12-01,0.0,0,0.0
skincare,youve,2025-01-01,0.0,0,0.0
skincare,youve,2025-02-01,0.0,0,0.0
skincare,youve,2025-03-01,0.0,0,0.0
skincare,youve,2025-04-01,0.0,0,0.0
skincare,youve,2025-05-01,0.0,0,0.0
skincare,youve,2025-06-01,0.0,0,0.0
skincare,youve,2025-07-01,0.0,0,0.0
skincare,youtubers,2020-01-01,0.0,0,
skincare,youtubers,2020-02-01,0.0,0,0.0
skincare,youtubers,2020-03-01,0.0,0,0.0
